,smiles_parent,PC_uM_sign,PC_uM_value
264,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccccc1,,0.096
265,Cc1cccc2nc(N)nc(N)c12,,1.5
266,Nc1nc(N)c2c(C(F)(F)F)cccc2n1,,82.0
267,Nc1nc(N)c2c(F)cccc2n1,,0.41
268,Nc1nc(N)c2c(Cl)cccc2n1,,0.42
269,Nc1nc(N)c2c(Br)cccc2n1,,0.28
270,Nc1nc(N)c2c(I)cccc2n1,,0.52
271,COc1cccc2nc(N)nc(N)c12,,4.5
272,CCOc1cccc2nc(N)nc(N)c12,,4.7
273,CCCOc1cccc2nc(N)nc(N)c12,,0.96
274,Nc1nc(N)c2c(OCC(F)(F)F)cccc2n1,,13.0
275,Nc1nc(N)c2c(OCC(F)(F)C(F)(F)F)cccc2n1,,54.0
276,Nc1nc(N)c2c(OCC(F)(F)C(F)(F)C(F)(F)F)cccc2n1,,71.0
277,CSc1cccc2nc(N)nc(N)c12,,1.1
278,Cc1ccc2nc(N)nc(N)c2c1,,20.0
279,Nc1nc(N)c2cc(C(F)(F)F)ccc2n1,,2.7
280,Nc1nc(N)c2cc(F)ccc2n1,,119.0
281,Nc1nc(N)c2cc(Cl)ccc2n1,,3.6
282,Nc1nc(N)c2cc(Br)ccc2n1,,1.6
283,Nc1nc(N)c2cc(I)ccc2n1,,1.6
284,COc1ccc2nc(N)nc(N)c2c1,,58.0
285,Cc1ccc2c(N)nc(N)nc2c1,,65.0
286,Nc1nc(N)c2ccc(C(F)(F)F)cc2n1,,31.0
287,Nc1nc(N)c2ccc(F)cc2n1,,41.0
288,Nc1nc(N)c2ccc(Cl)cc2n1,,45.0
289,Nc1nc(N)c2ccc(Br)cc2n1,,12.0
290,Nc1nc(N)c2c(Cl)c(Cl)ccc2n1,,9.7
291,Nc1nc(N)c2c(Cl)c(Br)ccc2n1,,0.14
292,Cc1cc2nc(N)nc(N)c2cc1C,,5.3
293,Nc1nc(N)c2c(C#Cc3ccccc3)cccc2n1,>,30.0
294,Nc1nc(N)c2c(C=Cc3ccccc3)cccc2n1,,10.0
295,Nc1nc(N)c2c(CCc3ccccc3)cccc2n1,,3.2
296,COc1ccc(OC)c(NCc2cccc3nc(N)nc(N)c23)c1,>,5.0
297,COc1ccc(OC)c(N(C)Cc2cccc3nc(N)nc(N)c23)c1,>,40.0
298,COc1ccc(OC)c(CCc2cccc3nc(N)nc(N)c23)c1,,19.0
299,COc1ccc(OC)c(C#Cc2cccc3nc(N)nc(N)c23)c1,>,18.0
300,COc1cc(NCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,>,20.0
301,COc1cc(N(C)Cc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,>,20.0
302,COc1cc(CCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,,14.0
303,Nc1nc(N)c2cc(NC3c4ccccc4C=Cc4ccccc43)ccc2n1,,13.0
304,Nc1nc(N)c2cc(NC3c4ccccc4CCc4ccccc43)ccc2n1,,0.51
305,Nc1nc(N)c2cc(C(=O)O)ccc2n1,>,32.0
306,Nc1nc(N)c2cc(CO)ccc2n1,,51.7
307,COc1cc(NCC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,4.6
308,COc1cc(N(C)CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,0.095
309,C#CN(CC1CCc2nc(N)nc(N)c2C1)c1cc(OC)c(OC)c(OC)c1,,0.119
310,COc1ccc(OC)c(NCC2CCc3nc(N)nc(N)c3C2)c1,,1.67
311,COc1ccc(OC)c(N(C)CC2CCc3nc(N)nc(N)c3C2)c1,,0.3
312,CCN(CC1CCc2nc(N)nc(N)c2C1)c1cc(OC)ccc1OC,,0.114
313,CCOc1ccc(OCC)c(NCC2CCc3nc(N)nc(N)c3C2)c1,,1.57
314,CCOc1ccc(OCC)c(N(C)CC2CCc3nc(N)nc(N)c3C2)c1,,0.319
315,Nc1nc(N)c2c(n1)CCC(CNc1ccc(Cl)c(Cl)c1)C2,,6.8
316,CN(CC1CCc2nc(N)nc(N)c2C1)c1ccc(Cl)c(Cl)c1,,0.246
317,Nc1nc(N)c2c(n1)CCC(CNc1cc(Cl)ccc1Cl)C2,,0.41
318,Nc1nc(N)c2c(n1)CCC(CNc1c(Cl)cccc1Cl)C2,,0.502
319,Nc1nc(N)c2c(n1)CCC(CNc1ccc(Cl)cc1)C2,,0.94
320,CN(CC1CCc2nc(N)nc(N)c2C1)c1ccc(Cl)cc1,,0.171
321,Nc1nc(N)c2c(n1)CCC(CNc1cccc(Br)c1)C2,,0.33
322,COc1cc(CNCC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,18.5
323,COc1cc(CN(C)CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,3.1
324,Nc1nc(N)c2c(n1)CCC(CN1CCc3ccccc31)C2,,0.21
325,Nc1nc(N)c2c(n1)CCC(CNc1cccc3ccccc13)C2,,0.517
326,CN(CC1CCc2nc(N)nc(N)c2C1)c1cccc2ccccc12,,0.1
327,Nc1nc(N)c2c(n1)CCC(Cc1ccccc1)C2,,0.29
328,Cc1ccccc1CC1CCc2nc(N)nc(N)c2C1,,0.25
329,Cc1cccc(CC2CCc3nc(N)nc(N)c3C2)c1,,0.34
330,COc1ccccc1CC1CCc2nc(N)nc(N)c2C1,,0.45
331,COc1cccc(CC2CCc3nc(N)nc(N)c3C2)c1,,0.27
332,COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1,,0.44
333,Nc1nc(N)c2c(n1)CCC(Cc1cccc(C(F)(F)F)c1)C2,,0.4
334,Nc1nc(N)c2c(n1)CCC(Cc1cccc(OC(F)(F)F)c1)C2,,0.1
335,Nc1nc(N)c2c(n1)CCC(Cc1ccc(OC(F)(F)F)cc1)C2,,0.58
336,COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1,,0.057
337,COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC,,0.1
338,COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,0.091
339,Nc1nc(N)c2c(n1)CCC(Cc1ccc(Cl)c(Cl)c1)C2,,15.0
340,CCC1CCc2nc(N)nc(N)c2C1,,6.9
341,CC(C)(C)C1CCc2nc(N)nc(N)c2C1,,0.18
342,Nc1nc(N)c2c(n1)CCC(c1ccccc1)C2,,2.2
343,Nc1nc(N)c2c(n1)CCC(Cc1cccs1)C2,,0.21
344,Nc1nc(N)c2c(n1)CCC(Cc1ccsc1)C2,,1.7
345,Nc1nc(N)c2c(n1)CCC(CC1CCCO1)C2,,0.88
346,Nc1nc(N)c2nc(CSc3ccccc3)ccc2n1,,2.0
347,Nc1nc(N)c2nc(CSc3cccc4ccccc34)ccc2n1,,0.47
348,Nc1nc(N)c2nc(CSc3ccc4ccccc4c3)ccc2n1,,0.38
349,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3n2)c1,,1.4
350,COc1cc(NCc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,2.6
351,COc1cc(N(C)Cc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,0.13
352,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1,,0.062
353,CN(Cc1ccc2nc(N)nc(N)c2n1)c1cccc(Cl)c1,,2.1
354,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)c(Cl)c1,,0.022
355,Nc1nc(N)c2nc(CSc3ccccc3)ccc2n1,,2.0
356,Nc1nc(N)c2nc(CNc3ccccc3)ccc2n1,,1.7
357,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccccc1,,0.29
358,COc1ccccc1NCc1ccc2nc(N)nc(N)c2n1,,2.7
359,COc1ccccc1N(C)Cc1ccc2nc(N)nc(N)c2n1,,0.51
360,COc1cccc(NCc2ccc3nc(N)nc(N)c3n2)c1,,1.7
361,COc1cccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)c1,,0.097
362,COc1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1,,0.85
363,COc1ccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)cc1,,0.25
364,Nc1nc(N)c2nc(CNc3ccccc3Cl)ccc2n1,,0.53
365,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccccc1Cl,,0.21
366,Nc1nc(N)c2nc(CNc3cccc(Cl)c3)ccc2n1,,2.0
367,COc1ccc(NCc2ccc3nc(N)nc(N)c3n2)c(OC)c1,,5.5
368,COc1ccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)c(OC)c1,,0.16
369,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3n2)c1,,4.4
370,COc1ccc(OC)c(N(C)Cc2ccc3nc(N)nc(N)c3n2)c1,,0.21
371,COc1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1OC,,0.9
372,COc1ccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)cc1OC,,0.091
373,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3Cl)ccc2n1,,0.73
374,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)cc1Cl,,0.5
375,Nc1nc(N)c2nc(CNc3cc(Cl)ccc3Cl)ccc2n1,,1.6
376,CN(Cc1ccc2nc(N)nc(N)c2n1)c1cc(Cl)ccc1Cl,,0.15
377,Nc1nc(N)c2nc(CNc3c(Cl)cccc3Cl)ccc2n1,,1.0
378,CN(Cc1ccc2nc(N)nc(N)c2n1)c1c(Cl)cccc1Cl,,0.17
379,Nc1nc(N)c2nc(CNc3ccc(Cl)c(Cl)c3)ccc2n1,,0.41
380,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(Cl)c(Cl)c1,,0.038
381,COc1cc(NCc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,2.0
382,Nc1nc(N)c2nc(CNc3cc(Cl)c(Cl)c(Cl)c3)ccc2n1,,0.66
383,CN(Cc1ccc2nc(N)nc(N)c2n1)c1cc(Cl)c(Cl)c(Cl)c1,,0.25
384,Nc1nc(N)c2nc(CNc3c(Cl)cc(Cl)cc3Cl)ccc2n1,,2.0
385,CN(Cc1ccc2nc(N)nc(N)c2n1)c1c(Cl)cc(Cl)cc1Cl,,0.12
386,Nc1nc(N)c2nc(CSc3cccc4ccccc34)ccc2n1,,0.47
387,Nc1nc(N)c2nc(CSc3ccc4ccccc4c3)ccc2n1,,0.38
388,Nc1nc(N)c2nc(CNc3cccc4ccccc34)ccc2n1,,0.23
389,Nc1nc(N)c2nc(CNc3ccc4ccccc4c3)ccc2n1,,1.6
390,CN(Cc1ccc2nc(N)nc(N)c2n1)c1cccc2ccccc12,,0.04
391,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc2ccccc2c1,,0.052
392,CC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1,,0.41
393,CC(=O)c1ccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)cc1,,0.13
394,C#CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(C)=O)cc1,,0.22
395,CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(=O)C(F)(F)F)cc1,,0.25
396,C#CN(Cc1ccc2nc(N)nc(N)c2n1)c1ccc(C(=O)C(F)(F)F)cc1,,0.12
397,COc1ccccc1Sc1ccc2nc(N)nc(N)c2n1,,2.2
398,COc1ccc(Sc2ccc3nc(N)nc(N)c3n2)cc1,,0.7
399,COc1ccc(Sc2ccc3nc(N)nc(N)c3n2)cc1OC,,0.086
400,COc1ccccc1S(=O)(=O)c1ccc2nc(N)nc(N)c2n1,,3.2
401,COc1ccc(S(=O)(=O)c2ccc3nc(N)nc(N)c3n2)cc1,,10.5
402,COc1ccc(S(=O)(=O)c2ccc3nc(N)nc(N)c3n2)cc1OC,,2.7
403,COc1ccccc1Nc1ccc2nc(N)nc(N)c2n1,,8.7
404,COc1ccc(Nc2ccc3nc(N)nc(N)c3n2)cc1,,90.4
405,COc1ccc(Nc2ccc3nc(N)nc(N)c3n2)cc1OC,,40.4
406,COc1ccc(N(C)c2ccc3nc(N)nc(N)c3n2)cc1,,0.22
407,COc1ccc(N(C)c2ccc3nc(N)nc(N)c3n2)cc1OC,,0.0023
408,COc1ccc(OC)c(Nc2ccc3nc(N)nc(N)c3n2)c1,,16.1
409,COc1ccc(OC)c(N(C)c2ccc3nc(N)nc(N)c3n2)c1,,0.034
410,COc1cc(Nc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,25.9
411,COc1cc(N(C)c2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,0.021
412,CN(c1ccc2nc(N)nc(N)c2n1)c1cccc2ccccc12,,5.1
413,Nc1nc(N)c2nc(Nc3ccc4ccccc4c3)ccc2n1,,15.0
414,CN(c1ccc2ccccc2c1)c1ccc2nc(N)nc(N)c2n1,,0.0317
415,Nc1nc(N)c2nc(Nc3ccccc3)ccc2n1,,8.3
416,CN(c1ccccc1)c1ccc2nc(N)nc(N)c2n1,,0.0995
417,Nc1nc(N)c2nc(Nc3ccc(Cl)cc3)ccc2n1,,14.6
418,COc1cc(CNc2ccc3nc(N)nc(N)c3n2)cc(OC)c1OC,,29.4
419,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4ccccc43)ccc2n1,,0.037
420,Nc1nc(N)c2cc(CSc3ccccc3)cnc2n1,,1.3
421,Nc1nc(N)c2cc(CSc3cccc4ccccc34)cnc2n1,,0.95
422,Nc1nc(N)c2cc(CSc3ccc4ccccc4c3)cnc2n1,,0.17
423,Nc1nc(N)c2cc(CSc3cc(Cl)ccc3Cl)cnc2n1,,5.9
424,Nc1nc(N)c2cc(CSc3cc(Cl)cc(Cl)c3)cnc2n1,,11.0
425,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2)cc1OC,,2.2
426,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.086
427,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.0132
428,COc1cc(N(C=O)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.55
429,Cc1c(CNc2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.32
430,Cc1c(CN(C)c2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.1
431,Cc1c(CN(C=O)c2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.51
432,Cc1c(CNc2cc(Cl)c(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.063
433,Cc1c(CN(C)c2cc(Cl)c(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.1045
434,Cc1c(CN(C=O)c2cc(Cl)c(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.52
435,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.046
436,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,,0.0229
437,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,0.316
438,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,,0.044
439,CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.0767
440,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.216
441,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.13
442,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,0.32
443,CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,3.1
444,C#CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1,,0.0535
445,COc1cc(N(Cc2cnc3nc(N)nc(N)c3c2C)C(C)C)cc(OC)c1OC,,0.0134
446,CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1,,0.0497
447,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.573
448,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c2ccccc12,,0.041
449,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.086
450,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.013
451,Cc1c(CN(C)c2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,,0.1
452,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.22
453,Cc1c(CSc2ccccc2)cnc2nc(N)nc(N)c12,,0.44
454,Cc1c(CSc2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.29
455,Cc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,,0.17
456,Cc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,,0.53
457,COc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1,,0.34
458,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1,,0.56
459,COc1ccc(SCc2cnc3nc(N)nc(N)c3c2C)cc1OC,,0.15
460,Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,,0.068
461,Cc1c(CSc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,,0.36
462,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,,0.11
463,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.038
464,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2c1C,,1.0
465,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.011
466,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.7
467,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,,0.049
468,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.013
469,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2c1C,,0.044
470,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1,,0.02
471,Cc1c(CCc2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.064
472,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3c2C)c1,,0.34
473,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.03
474,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(C)c1,,0.17
475,COc1ccc(C)cc1NCc1cnc2nc(N)nc(N)c2c1C,,0.068
476,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,0.091
477,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,0.35
478,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.05
479,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,,0.051
480,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc1OC,,0.32
481,CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.125
482,CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.167
483,COc1ccc(C(F)(F)F)cc1N(C)Cc1cnc2nc(N)nc(N)c2c1C,,0.093
484,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.1
485,Cc1c(CN(C)c2cccc3ccccc23)cnc2nc(N)nc(N)c12,,0.15
486,Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,,0.26
487,Nc1nc(N)c2cc(CNc3ccc(Cl)cc3)cnc2n1,,0.97
488,COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,2.0
489,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2)c1,,0.75
490,Nc1nc(N)c2cc(NCc3ccccc3)cnc2n1,,2.7
491,CN(Cc1ccccc1)c1cnc2nc(N)nc(N)c2c1,,0.068
492,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,14.1
493,COc1cc(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,0.061
494,COc1cc(C(C)Nc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,9.2
495,COc1ccc(CNc2cnc3nc(N)nc(N)c3c2)c(OC)c1OC,,15.3
496,COc1ccc(CN(C)c2cnc3nc(N)nc(N)c3c2)c(OC)c1OC,,0.079
497,COc1cc(OC)c(CNc2cnc3nc(N)nc(N)c3c2)c(OC)c1,,20.7
498,COc1cc(OC)c(OC)cc1CNc1cnc2nc(N)nc(N)c2c1,,5.5
499,COc1ccc(CNc2cnc3nc(N)nc(N)c3c2)cc1OC,,4.8
500,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1,,5.7
501,COc1cc(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)c1,,0.076
502,COc1ccc(OC)c(CNc2cnc3nc(N)nc(N)c3c2)c1,,3.8
503,COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,,0.084
504,Nc1nc(N)c2cc(NCc3cccc4ccccc34)cnc2n1,,3.9
505,COc1ccc(CNc2cnc3nc(N)nc(N)c3c2)c2ccccc12,,8.2
506,COc1ccc2ccccc2c1CNc1cnc2nc(N)nc(N)c2c1,,15.4
507,Nc1nc(N)c2cc(NCc3ccc(Oc4ccccc4)cc3)cnc2n1,,24.3
508,Nc1nc(N)c2cc(NCCc3ccccc3)cnc2n1,,1.94
509,CN(CCc1ccccc1)c1cnc2nc(N)nc(N)c2c1,,1.8
510,COc1cc(-n2cccc2)c(OC)cc1NCc1cnc2nc(N)nc(N)c2c1C,,0.35
511,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)c(-n2cccc2)cc1OC,,1.8
512,Cc1c(C)c(-n2cccc2)c(C)c(C)c1NCc1cnc2nc(N)nc(N)c2c1C,,0.62
513,COc1ccc(-c2ccccc2)cc1NCc1cnc2nc(N)nc(N)c2c1C,,0.64
514,Cc1c(CNc2ccccc2)cnc2nc(N)nc(N)c12,,0.08
515,COc1ccccc1NCc1cnc2nc(N)nc(N)c2c1C,,0.117
516,COc1cccc(NCc2cnc3nc(N)nc(N)c3c2C)c1,,0.0689
517,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1,,0.0954
518,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12,,0.047
519,Cc1c(CNc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,,0.023
520,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,,0.0554
521,Cc1c(CNc2ccc(Br)cc2)cnc2nc(N)nc(N)c12,,0.0808
522,COc1cccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.03
523,COc1ccc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc1,,0.035
524,Cc1c(CN(C)c2ccccc2Cl)cnc2nc(N)nc(N)c12,,0.084
525,Cc1c(CN(C)c2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,,0.029
526,Cc1c(CN(C)c2ccc(Br)cc2)cnc2nc(N)nc(N)c12,,0.037
527,Nc1nc(N)c2cc(COC(=O)c3ccccc3)cnc2n1,,5.45
528,Cc1c(COC(=O)c2ccccc2)cnc2nc(N)nc(N)c12,,0.25
529,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,0.24
530,CCN(Cc1cnc2nc(N)nc(N)c2c1)c1cc(OC)c(OC)c(OC)c1,,0.19
531,COc1cc(N(C=O)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,18.5
532,COc1cc(C=Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,>,5.0
533,COc1ccc(C=Cc2cnc3nc(N)nc(N)c3c2)cc1OC,,2.6
534,COc1ccc(C=Cc2cnc3nc(N)nc(N)c3c2)cc1,,5.3
535,COc1cc(CCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,,5.0
536,COc1ccc(CCc2cnc3nc(N)nc(N)c3c2)cc1OC,,1.4
537,COc1ccc(CCc2cnc3nc(N)nc(N)c3c2)cc1,,0.29
538,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,,0.031
539,COc1ccc2c(c1OC)C(Cc1cnc3nc(N)nc(N)c3c1C)CC2,,0.41
540,COc1ccc2c(c1)C=CC2Cc1cnc2nc(N)nc(N)c2c1C,,0.57
541,COc1cc2c(cc1OC)CN(Cc1cnc3nc(N)nc(N)c3c1C)CC2,,0.85
542,COc1ccc2c(c1)CCN2Cc1cnc2nc(N)nc(N)c2c1C,,0.25
543,COc1cccc2c1CCN2Cc1cnc2nc(N)nc(N)c2c1C,,0.29
544,COc1cc2c(cc1OC)N(Cc1cnc3nc(N)nc(N)c3c1C)CC2,,0.41
545,Nc1nc(N)c2cc(CN3c4ccccc4C=Cc4ccccc43)cnc2n1,,0.043
546,COc1ccc2c(c1)CCC2Cc1cnc2nc(N)nc(N)c2c1C,,0.29
547,COc1ccc2c(c1)C(Cc1cnc3nc(N)nc(N)c3c1C)CC2,,0.25
548,Nc1nc(N)c2cc(CO)cnc2n1,>,104.0
549,Cc1c(CO)cnc2nc(N)nc(N)c12,,10.5
550,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccccc1)C3,,16.0
551,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)C3,,1.8
552,COc1ccc(CN2CCc3nc4nc(N)nc(N)c4cc3C2)cc1,>,15.0
553,COc1cc(CN2CCc3nc4nc(N)nc(N)c4cc3C2)cc(OC)c1,,14.0
554,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)cc1Cl)C3,,4.0
555,Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)c(Cl)c1)C3,,5.0
556,Nc1nc(N)c2cc3c(nc2n1)CCN(C(=O)OCc1ccccc1)C3,>,15.0
557,COc1cc(N(C=O)CC2=CNc3nc(N)nc(N)c3C2C)cc(OC)c1OC,>,2.6
558,COc1cc(N(C=O)CC2CNc3nc(N)nc(N)c3C2C)cc(OC)c1OC,>,1.2
559,COc1cc(NCC2CNc3nc(N)nc(N)c3C2C)cc(OC)c1OC,>,3700.0
560,COc1cc(CCC2CNc3nc(N)nc(N)c3C2)cc(OC)c1OC,,61.7
561,COc1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1OC,,7.7
562,COc1ccc(OC)c(CN2CCc3nc(N)nc(N)c3C2)c1,,3.3
563,COc1cc(CN2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,6.9
564,COc1cc(CN2CCc3nc(N)nc(N)c3C2)c(Br)c(OC)c1OC,,0.51
565,COc1cc(CCN2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,30.0
566,COc1cc(CCCN2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC,,9.3
567,Nc1nc(N)c2c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)coc2n1,,0.9
568,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,0.035
569,COc1cc(NCc2coc3nc(N)nc(N)c23)cc(OC)c1OC,>,4.0
570,Nc1nc(N)c2c(CNc3cc(Cl)c(Cl)c(Cl)c3)coc2n1,,8.3
571,Nc1nc(N)c2c(CNc3ccc(Cl)c(Cl)c3)coc2n1,>,35.0
